,emdd,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index
6114,0.1654061451906235,12144.3975444191,1.0,0.0,0.0,5.0,0.0,1.0,773.0
6119,0.2175353569332541,10039.708802321406,1.0,2.0,0.0,2.0,0.0,2.0,161.0
6122,0.3559185694509567,12678.839189479082,0.0,1.0,0.0,4.0,2.0,2.0,405.0
6130,0.3239105097277199,4507.977139486579,0.0,0.0,1.0,2.0,2.0,2.0,257.0
6149,0.3539451570887073,8094.136227040388,1.0,1.0,0.0,3.0,2.0,0.0,169.0
6169,0.3348887426122041,10095.021051133315,0.0,2.0,0.0,0.0,0.0,0.0,367.0
6187,0.4333246871752162,7732.634229324506,0.0,0.0,0.0,3.0,0.0,0.0,821.0
6190,0.0352847020673431,7281.011572959273,1.0,1.0,0.0,1.0,2.0,1.0,957.0
6192,0.3493101051902245,9187.281491456191,0.0,0.0,0.0,3.0,0.0,1.0,730.0
6193,0.4340277825926655,7111.192994199501,1.0,0.0,0.0,4.0,1.0,1.0,301.0
6199,0.355888780948216,13260.41329956854,1.0,2.0,0.0,3.0,2.0,2.0,889.0
6206,0.3607466820056207,12109.416968685857,1.0,1.0,0.0,5.0,1.0,1.0,580.0
6210,0.3164274530811324,6684.130586786334,1.0,2.0,0.0,1.0,2.0,2.0,950.0
6211,0.2680631638850524,11497.55677578663,1.0,0.0,0.0,3.0,2.0,0.0,307.0
6215,0.517647576801431,9247.434329565036,0.0,2.0,0.0,2.0,2.0,2.0,671.0
6223,0.1755298897083748,8398.294359862612,0.0,1.0,0.0,5.0,1.0,1.0,639.0
6226,0.0531814218628972,7614.11157060348,0.0,0.0,0.0,3.0,1.0,1.0,760.0
6230,0.1315803211458182,5764.280082527584,0.0,2.0,0.0,0.0,2.0,2.0,841.0
6235,0.4540575033128784,5326.048816550765,0.0,2.0,0.0,0.0,2.0,1.0,190.0
6236,0.2039880954163312,10623.707848314483,0.0,2.0,0.0,5.0,2.0,2.0,392.0
6251,0.1386188933202144,11158.416755474904,0.0,0.0,1.0,4.0,0.0,2.0,305.0
6279,0.2404935743759574,10145.956755025689,1.0,0.0,0.0,0.0,0.0,1.0,419.0
6282,0.3816198701940373,10702.564549307008,0.0,1.0,0.0,4.0,0.0,2.0,821.0
6295,0.0264506045785772,10908.431178043342,1.0,1.0,0.0,0.0,0.0,0.0,297.0
6303,0.0473108903161541,6340.788127137408,0.0,2.0,0.0,5.0,0.0,2.0,418.0
6308,0.0620993851305498,13229.43344747645,1.0,0.0,0.0,3.0,0.0,1.0,953.0
6309,0.0183113091672711,10200.11812162844,0.0,0.0,0.0,5.0,0.0,2.0,271.0
6314,0.2798484627490835,12003.833499409626,0.0,1.0,0.0,1.0,2.0,0.0,317.0
6326,0.4004852421326437,5621.320657076572,0.0,0.0,0.0,1.0,0.0,0.0,124.0
6328,0.0429833508683683,10271.131633809142,0.0,1.0,0.0,1.0,1.0,0.0,490.0
6331,0.5629365675245035,11883.762752469422,1.0,2.0,0.0,5.0,0.0,1.0,899.0
6335,0.3041903666339193,12639.702836538392,0.0,0.0,0.0,4.0,1.0,0.0,56.0
6337,0.1410666673156889,13384.831154146048,1.0,0.0,0.0,4.0,1.0,1.0,623.0
6350,0.3779852346322241,8988.53131977937,0.0,0.0,0.0,0.0,2.0,0.0,196.0
6352,0.0846444628723402,6186.495074228104,0.0,0.0,0.0,1.0,1.0,0.0,548.0
6353,0.3385051345366087,7923.187909911159,1.0,2.0,0.0,4.0,0.0,0.0,369.0
6354,0.3395511725312796,12686.667526855606,0.0,2.0,0.0,5.0,1.0,2.0,985.0
6363,0.5072784866336173,12320.74830065952,1.0,1.0,0.0,1.0,1.0,2.0,333.0
6412,0.141586160918708,6235.47069734521,0.0,0.0,0.0,4.0,0.0,1.0,327.0
6424,0.3836604969596019,8175.659795781942,1.0,1.0,0.0,1.0,1.0,1.0,358.0
6427,0.5812278416018327,10725.815787519216,1.0,2.0,0.0,1.0,2.0,1.0,820.0
6428,0.0899719046109046,5308.29089723373,1.0,1.0,0.0,5.0,0.0,2.0,251.0
6434,0.5916642978748023,6967.457005283974,0.0,2.0,1.0,4.0,1.0,2.0,257.0
6435,0.2436084562145894,11688.754985338934,0.0,0.0,0.0,1.0,2.0,0.0,741.0
6440,0.011885366034986,9841.472442576858,0.0,0.0,1.0,3.0,1.0,0.0,75.0
6442,0.5705668406022265,12851.418099803805,1.0,2.0,0.0,2.0,2.0,1.0,360.0
6445,0.4334060983617286,9609.123076101896,0.0,2.0,0.0,2.0,2.0,1.0,906.0
6446,0.2734064607049688,9738.439825125082,0.0,0.0,0.0,5.0,2.0,0.0,964.0
6447,0.2804673737606706,7526.997516564482,1.0,2.0,0.0,4.0,1.0,1.0,234.0
6459,0.1197489063221422,12989.284186001489,0.0,0.0,0.0,1.0,0.0,0.0,122.0
6460,0.3569684385537419,10703.750531158805,0.0,1.0,0.0,1.0,2.0,1.0,126.0
6461,0.157842502588224,9623.137240097329,1.0,2.0,0.0,3.0,2.0,1.0,20.0
6475,0.2331887349134161,5780.639555839037,0.0,0.0,0.0,5.0,0.0,2.0,676.0
6478,0.114795459223226,7371.527305859972,1.0,1.0,0.0,3.0,2.0,0.0,483.0
6484,0.3213242475849668,10340.905632064918,1.0,1.0,0.0,2.0,1.0,1.0,413.0
6487,0.329953196023697,7377.679612451038,0.0,0.0,1.0,2.0,2.0,2.0,75.0
6495,0.2966493723069022,6748.576950041732,1.0,0.0,0.0,1.0,1.0,0.0,601.0
6496,0.4880901573900344,10878.213332412231,0.0,2.0,0.0,0.0,1.0,0.0,710.0
6499,0.1446727089379259,7593.134756598674,1.0,2.0,0.0,1.0,2.0,2.0,208.0
6503,0.0841530924120233,6775.079156737651,1.0,1.0,1.0,2.0,1.0,2.0,463.0
6510,0.0654562631757619,8268.19169880659,0.0,1.0,0.0,5.0,0.0,1.0,203.0
6513,0.1357703149301203,8714.609546326163,1.0,2.0,0.0,2.0,0.0,0.0,334.0
6520,0.0599871670995809,8073.204973199276,1.0,1.0,0.0,5.0,1.0,0.0,868.0
6521,0.0944382319822132,7921.018078321495,1.0,0.0,0.0,1.0,1.0,1.0,934.0
6524,0.1786088149514292,9989.70545935279,1.0,2.0,0.0,2.0,1.0,1.0,501.0
6527,0.1522000284910946,12364.463935041827,1.0,0.0,0.0,0.0,2.0,2.0,724.0
6529,0.1432039476400905,4537.918046173928,0.0,2.0,0.0,4.0,2.0,1.0,628.0
6532,0.0631584285076261,12547.35954717814,0.0,2.0,0.0,1.0,0.0,2.0,41.0
6535,0.4088121903618184,4077.011513731375,0.0,2.0,0.0,0.0,1.0,1.0,499.0
6538,0.4859673032743119,5639.459389924091,0.0,1.0,0.0,4.0,1.0,2.0,859.0
6547,0.1219062415962357,8800.529566017894,0.0,1.0,0.0,5.0,2.0,2.0,204.0
6552,0.4594568547158904,9565.250809523732,1.0,1.0,0.0,1.0,0.0,1.0,533.0
6559,0.2690783586804261,13350.432993190838,1.0,2.0,1.0,0.0,0.0,2.0,646.0
6563,0.3319508365243002,12669.64475900304,1.0,2.0,0.0,5.0,1.0,2.0,398.0
6565,0.1750608162925232,5424.826730395135,0.0,0.0,0.0,0.0,0.0,2.0,7.0
6568,0.1905964895617709,6558.775957488865,0.0,0.0,0.0,1.0,2.0,1.0,20.0
6569,0.0754467023216733,13490.524602133964,0.0,2.0,1.0,3.0,0.0,2.0,210.0
6573,0.2518671930627199,7805.843180781772,1.0,0.0,1.0,2.0,1.0,2.0,819.0
6575,0.0150732802313591,4135.114799913655,1.0,1.0,0.0,3.0,2.0,1.0,155.0
6582,0.2894216538732054,4291.973552704555,0.0,2.0,1.0,3.0,0.0,2.0,367.0
6584,0.4454516941103535,7415.925951348157,1.0,2.0,0.0,1.0,0.0,2.0,398.0
6588,0.1831165715527523,10738.610659510863,1.0,0.0,0.0,2.0,0.0,2.0,687.0
6591,0.2353139089702349,7629.326759310215,0.0,2.0,0.0,1.0,0.0,1.0,808.0
6601,0.2263237847801009,7226.781092440624,1.0,1.0,0.0,2.0,0.0,1.0,402.0
6612,0.3162957073609482,12555.1741025515,0.0,2.0,0.0,4.0,1.0,0.0,598.0
6615,0.2956184371881315,7715.321317497437,0.0,1.0,0.0,0.0,0.0,0.0,11.0
6619,0.3167885178218486,5868.277923667993,1.0,0.0,0.0,3.0,2.0,0.0,563.0
6622,0.4151388625008489,13276.341069248863,1.0,0.0,0.0,0.0,2.0,0.0,282.0
6631,0.146301693158963,9071.785423175885,1.0,1.0,0.0,0.0,0.0,0.0,367.0
6632,0.5492970808024475,9883.891847196532,0.0,1.0,0.0,5.0,0.0,1.0,489.0
6649,0.4872400956675535,11263.180754592931,1.0,0.0,0.0,4.0,2.0,2.0,109.0
6651,0.0910310939288093,12097.840485159024,0.0,0.0,0.0,3.0,1.0,0.0,452.0
6658,0.4959620986577177,8754.582710329883,1.0,2.0,0.0,1.0,2.0,0.0,66.0
6660,0.3568883926428265,10307.181795604323,1.0,2.0,0.0,3.0,0.0,1.0,648.0
6665,0.5899505954055753,10471.598178141963,1.0,1.0,0.0,3.0,2.0,1.0,729.0
6675,0.3427144556256818,4266.575519451092,1.0,2.0,0.0,0.0,0.0,1.0,951.0
6682,0.3682900601537247,4879.3394753007,1.0,1.0,0.0,4.0,1.0,1.0,322.0
6691,0.1184907029906505,12949.53323921404,0.0,0.0,0.0,5.0,0.0,2.0,418.0
6694,0.3417520298649131,11269.676733881965,1.0,1.0,0.0,2.0,1.0,2.0,819.0
6699,0.1032599465296529,11998.21676747115,1.0,1.0,0.0,4.0,0.0,1.0,497.0
6703,0.1354190990386755,13501.02308724068,1.0,2.0,0.0,1.0,1.0,0.0,645.0
6707,0.0764136846540577,5770.84551585457,1.0,0.0,0.0,0.0,2.0,0.0,741.0
6717,0.4857203437761083,8985.214422024814,1.0,2.0,0.0,5.0,0.0,0.0,0.0
6718,0.1746044783126429,5950.482444698577,1.0,0.0,0.0,4.0,0.0,0.0,56.0
6733,0.4450409645433089,6749.873378051836,1.0,1.0,0.0,5.0,2.0,2.0,75.0
6749,0.3622453048356223,5560.311064383041,1.0,0.0,0.0,1.0,0.0,0.0,601.0
6750,0.1275033141175728,7856.332660394461,1.0,2.0,0.0,0.0,0.0,1.0,922.0
6754,0.2425725804172772,6255.250253793223,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6755,0.1747467259301982,10008.347390888488,1.0,0.0,0.0,2.0,0.0,0.0,229.0
6762,0.0952529348438735,9742.371794092049,0.0,1.0,0.0,5.0,1.0,0.0,721.0
6774,0.1828401039586925,9497.041174326225,0.0,0.0,0.0,2.0,2.0,1.0,814.0
6777,0.230978343811154,4780.070324727269,0.0,2.0,0.0,2.0,1.0,0.0,978.0
6787,0.3590254094766512,11972.075017198891,1.0,2.0,0.0,2.0,2.0,1.0,707.0
6793,0.356274699472778,12196.73763040003,0.0,0.0,0.0,0.0,1.0,0.0,745.0
6809,0.1519677249367789,5447.461116980638,1.0,2.0,0.0,5.0,1.0,2.0,187.0
6826,0.2578415722419286,6093.30988516413,0.0,0.0,0.0,3.0,1.0,2.0,784.0
6829,0.2521974191059819,4542.907886224553,1.0,1.0,0.0,3.0,0.0,2.0,887.0
6839,0.3359349959433968,11754.637647688483,1.0,0.0,0.0,5.0,2.0,1.0,7.0
6859,0.2835054739416798,8736.112005181127,1.0,0.0,0.0,3.0,1.0,1.0,578.0
6867,0.176196613386153,4728.413910463925,0.0,1.0,0.0,4.0,0.0,0.0,612.0
6875,0.13794722622747,8249.425573037674,1.0,2.0,0.0,0.0,2.0,1.0,506.0
6887,0.2057753302484009,12459.57767979978,0.0,2.0,0.0,3.0,1.0,0.0,978.0
6905,0.2459778028036773,12627.70381033501,0.0,2.0,0.0,1.0,2.0,1.0,490.0
6910,0.1550197880350665,10962.266860718402,0.0,1.0,0.0,5.0,0.0,0.0,229.0
6925,0.2360615270005912,12443.466553644796,1.0,0.0,0.0,4.0,0.0,1.0,170.0
6948,0.0635202864367016,4436.693518314985,0.0,0.0,0.0,4.0,0.0,0.0,849.0
6994,0.0334683739682528,5595.86607380917,0.0,2.0,0.0,4.0,2.0,0.0,745.0
6995,0.4192048238956172,4658.645466097928,1.0,0.0,0.0,5.0,0.0,0.0,152.0
7012,0.3135917953038193,6393.51734724645,0.0,0.0,0.0,2.0,1.0,1.0,489.0
7027,0.1682159659308593,9717.635509139707,1.0,1.0,0.0,3.0,1.0,2.0,928.0
7028,0.0390239107385889,7641.3412973823,0.0,0.0,0.0,0.0,2.0,0.0,36.0
7038,0.2767918588262236,7339.237467310167,0.0,0.0,1.0,1.0,0.0,2.0,109.0
7039,0.45526195420504,9526.381007317055,0.0,2.0,0.0,3.0,0.0,1.0,97.0
7040,0.0849530392924051,7993.483149820984,1.0,0.0,0.0,0.0,2.0,0.0,34.0
7051,0.1883495530670758,13645.56967515214,0.0,0.0,0.0,3.0,1.0,1.0,68.0
7054,0.0071649895446083,6939.890365921256,0.0,0.0,0.0,0.0,2.0,2.0,608.0
7057,0.0050909919675525,13006.555493339414,0.0,2.0,0.0,5.0,2.0,1.0,625.0
7058,0.2364487793718907,6803.732953439801,0.0,0.0,0.0,5.0,0.0,0.0,216.0
7063,0.1968071830183951,10510.848648854568,0.0,0.0,1.0,5.0,1.0,2.0,777.0
7066,0.5437605449186061,12707.699696539556,0.0,2.0,0.0,3.0,2.0,2.0,257.0
7068,0.371411613699914,10483.816892502307,0.0,2.0,0.0,3.0,0.0,0.0,744.0
7082,0.4164906761267008,11824.510625937475,0.0,1.0,0.0,5.0,1.0,0.0,657.0
7094,0.0262182613226764,13148.35325131922,0.0,1.0,0.0,5.0,1.0,0.0,47.0
7101,0.1499156781338495,8056.830472642804,1.0,0.0,0.0,2.0,2.0,2.0,773.0
7103,0.2407424239414727,10128.700915102378,0.0,0.0,0.0,2.0,1.0,0.0,38.0
7106,0.5743096998068666,9830.88376417644,0.0,2.0,0.0,4.0,1.0,0.0,320.0
7107,0.2221391958202681,7841.324452010518,0.0,1.0,0.0,5.0,0.0,0.0,10.0
7116,0.0514630615890839,9188.595538843112,0.0,2.0,0.0,0.0,0.0,0.0,770.0
7124,0.3833572355037299,12653.20425969327,0.0,2.0,0.0,1.0,2.0,0.0,366.0
7126,0.0191064589663845,13527.65096416777,0.0,2.0,0.0,0.0,1.0,0.0,157.0
7127,0.4258804694891496,8351.325843478764,0.0,0.0,0.0,1.0,0.0,0.0,530.0
7136,0.2946228716242284,6405.92125245663,0.0,0.0,0.0,0.0,2.0,1.0,360.0
7174,0.3213516553171379,6029.467834597118,0.0,1.0,0.0,4.0,0.0,1.0,170.0
7179,0.29356183824054,7188.523249020709,1.0,1.0,0.0,0.0,2.0,1.0,915.0
7182,0.3968363604786408,9216.049449022375,0.0,2.0,0.0,4.0,0.0,1.0,384.0
7192,0.0726622695984508,8078.501173290926,1.0,2.0,0.0,5.0,1.0,0.0,289.0
7199,0.0407432084757452,12475.048903276249,0.0,2.0,0.0,0.0,0.0,0.0,850.0
7213,0.4249722744391127,11762.44852271316,0.0,1.0,1.0,5.0,1.0,2.0,663.0
7217,0.0298544479064523,7725.228347281694,0.0,0.0,0.0,3.0,1.0,1.0,740.0
7229,0.0771734169678482,11834.886208127376,1.0,0.0,0.0,2.0,0.0,0.0,73.0
7235,0.4949955332387817,10940.605166735211,0.0,2.0,0.0,5.0,1.0,1.0,272.0
7236,0.0425747037836359,12768.893256164356,1.0,1.0,0.0,3.0,1.0,2.0,615.0
7237,0.4743125381909638,6729.136601834732,1.0,1.0,0.0,3.0,1.0,1.0,915.0
7241,0.2616618465068335,9376.748002791415,0.0,2.0,0.0,3.0,2.0,2.0,584.0
7247,0.5246954838869184,6251.566324388921,0.0,0.0,0.0,1.0,1.0,0.0,561.0
7248,0.1763592675664884,12816.378011967674,0.0,1.0,0.0,2.0,1.0,0.0,291.0
7254,0.0566103536592242,9333.03883909119,1.0,1.0,0.0,0.0,2.0,1.0,327.0
7264,0.2492243695346757,4232.549830651996,0.0,2.0,0.0,3.0,0.0,0.0,884.0
7286,0.2051745679092897,11023.69713396069,1.0,1.0,0.0,4.0,2.0,1.0,774.0
7287,0.0695630945923222,9632.4378243974,0.0,1.0,0.0,0.0,2.0,0.0,123.0
7290,0.411103072670292,12785.065518261592,0.0,2.0,0.0,4.0,0.0,1.0,351.0
7305,0.5919739149928273,8905.129799277327,0.0,2.0,0.0,4.0,1.0,2.0,104.0
7310,0.1244765838853427,4322.237734793466,1.0,1.0,0.0,4.0,2.0,1.0,447.0
7312,0.2568994553308683,12823.097850699176,1.0,2.0,0.0,3.0,1.0,1.0,722.0
7319,0.1483416841220811,13336.12715008846,0.0,0.0,0.0,0.0,1.0,1.0,200.0
7333,0.021105285286207,8230.061582044134,0.0,2.0,0.0,1.0,1.0,1.0,498.0
7334,0.3672499929464948,10142.752557808446,1.0,1.0,0.0,3.0,0.0,0.0,923.0
7337,0.0149475743453823,12192.416476671577,0.0,2.0,0.0,3.0,0.0,1.0,783.0
7341,0.0288885134799572,12040.29368015983,1.0,1.0,0.0,2.0,1.0,0.0,151.0
7345,0.0531982429158532,12896.984406101406,1.0,2.0,0.0,0.0,0.0,0.0,108.0
7358,0.1806342082301515,9965.546180667494,0.0,2.0,0.0,5.0,1.0,2.0,551.0
7359,0.0931052057080982,8473.308532222469,1.0,2.0,0.0,2.0,1.0,0.0,352.0
7393,0.047515241782856,5564.80153925717,1.0,1.0,0.0,0.0,2.0,1.0,735.0
7397,0.5038514852586161,13412.593287014595,1.0,1.0,0.0,0.0,0.0,2.0,984.0
7409,0.4542583258957499,5519.893915726612,0.0,0.0,0.0,5.0,1.0,2.0,118.0
7417,0.4447772216588074,8247.64125552695,1.0,1.0,0.0,5.0,1.0,2.0,189.0
7418,0.2191272301163666,13036.32033789247,1.0,2.0,0.0,2.0,2.0,0.0,153.0
7419,0.2194075971424159,7702.297099393145,1.0,0.0,0.0,3.0,0.0,1.0,590.0
7421,0.0213874309736872,5923.26425819874,0.0,0.0,0.0,0.0,2.0,2.0,252.0
7425,0.0816432876618922,10465.43997379932,0.0,0.0,0.0,5.0,2.0,1.0,282.0
7428,0.2303664516727935,11361.365981345629,0.0,1.0,0.0,3.0,0.0,0.0,785.0
7450,0.5419817601666665,8374.295407767984,1.0,0.0,0.0,2.0,0.0,0.0,978.0
7461,0.2848985705362636,7324.941763068406,1.0,1.0,0.0,4.0,1.0,1.0,707.0
7470,0.2772214008505271,13090.026110690347,0.0,1.0,0.0,3.0,0.0,0.0,831.0
7476,0.2789305747129568,6891.356726565562,1.0,1.0,0.0,4.0,0.0,1.0,424.0
7480,0.4226323125745559,9719.89551219637,0.0,1.0,1.0,4.0,2.0,1.0,883.0
7498,0.1235083293024475,10087.516396619843,1.0,1.0,0.0,2.0,2.0,1.0,234.0
7500,0.4510527406450456,9556.125610314852,0.0,0.0,0.0,1.0,0.0,0.0,624.0
7503,0.0441610609788262,12109.121904028763,1.0,0.0,0.0,5.0,0.0,1.0,195.0
7504,0.455210761096154,7499.885390039409,0.0,2.0,0.0,1.0,0.0,2.0,323.0
7509,0.2870057760347831,5744.940811678904,0.0,0.0,0.0,1.0,0.0,0.0,27.0
7510,0.3089162726065424,10977.239093657376,1.0,0.0,0.0,4.0,2.0,0.0,645.0
7512,0.0021337072889536,8022.962617059517,1.0,1.0,0.0,2.0,1.0,1.0,522.0
7513,0.1484834030551563,6512.092967781489,0.0,1.0,0.0,2.0,1.0,0.0,170.0
7515,0.0144582490036111,10671.76129036496,0.0,2.0,0.0,2.0,0.0,1.0,933.0
7517,0.1194583968221563,8805.400236253481,1.0,0.0,0.0,2.0,1.0,2.0,775.0
7520,0.1132393857828304,6306.851866957195,0.0,2.0,0.0,2.0,1.0,0.0,148.0
7523,0.0601935772968528,10735.65274795672,1.0,0.0,0.0,5.0,2.0,0.0,842.0
7532,0.5818168518855019,9169.33737980407,1.0,0.0,0.0,2.0,1.0,1.0,706.0
7542,0.4914216377507854,7614.400483662905,0.0,1.0,0.0,5.0,2.0,0.0,332.0
7550,0.0746782852148435,6103.194581293309,0.0,0.0,0.0,0.0,2.0,2.0,311.0
7553,0.3474643326194169,13544.488253054618,0.0,1.0,0.0,1.0,2.0,1.0,468.0
7558,0.438115289455983,13618.414008894111,0.0,0.0,0.0,5.0,0.0,2.0,187.0
7563,0.4369470104417912,4212.680297613376,1.0,0.0,0.0,0.0,2.0,2.0,398.0
7568,0.5095238158329173,9488.06890164944,1.0,0.0,0.0,1.0,2.0,1.0,468.0
7570,0.0977110792936064,10812.643043997972,0.0,1.0,0.0,2.0,0.0,0.0,987.0
7580,0.303932202047617,5273.113208504475,0.0,0.0,0.0,2.0,0.0,1.0,22.0
7594,0.5284689630561588,10547.828485840342,0.0,2.0,0.0,0.0,2.0,1.0,395.0
7602,0.1937093609463771,11610.690727795562,1.0,0.0,1.0,3.0,1.0,1.0,820.0
7606,0.2442212048718454,11522.182729884864,0.0,1.0,1.0,4.0,1.0,2.0,118.0
7607,0.2783894985467825,10861.674191425383,1.0,2.0,1.0,1.0,0.0,1.0,248.0
7612,0.3375886912026363,11673.150087889968,0.0,1.0,0.0,5.0,1.0,0.0,220.0
7619,0.2133200518961862,4323.298442553816,0.0,0.0,1.0,4.0,2.0,1.0,452.0
7627,0.0620611740427698,7270.110486429261,0.0,0.0,0.0,5.0,1.0,0.0,283.0
7630,0.0468805996409584,6151.938848056571,0.0,1.0,0.0,2.0,2.0,0.0,886.0
7632,0.0585808510984547,7546.963704210759,0.0,2.0,0.0,0.0,2.0,1.0,524.0
7643,0.1502042968458407,12825.194230119025,0.0,2.0,0.0,3.0,1.0,1.0,844.0
7645,0.5349544331029105,6715.678518381236,1.0,0.0,0.0,4.0,1.0,2.0,719.0
7662,0.4904511631208512,9538.377896346528,1.0,2.0,0.0,0.0,2.0,0.0,34.0
7683,0.2560822278449848,6585.230689715301,1.0,2.0,0.0,4.0,1.0,0.0,48.0
7687,0.0269179441944362,7668.0968546090435,1.0,0.0,1.0,4.0,2.0,0.0,483.0
7696,0.3673472214600528,6835.022147194476,1.0,0.0,0.0,3.0,0.0,0.0,867.0
7703,0.3006662468293685,10869.360789457827,1.0,0.0,0.0,0.0,2.0,1.0,546.0
7705,0.1567705272426008,13002.732904530489,1.0,0.0,1.0,0.0,0.0,1.0,207.0
7709,0.0023012643308637,12372.05668106027,0.0,1.0,0.0,2.0,1.0,0.0,682.0
7711,0.2854663744631852,9091.306588736272,0.0,2.0,0.0,0.0,2.0,1.0,879.0
7720,0.1526421944255774,9413.772084017131,0.0,0.0,0.0,4.0,0.0,2.0,310.0
7728,0.3684347886220233,4642.644687013184,0.0,0.0,0.0,4.0,0.0,0.0,733.0
7733,0.1816402824309413,6938.243738947491,0.0,2.0,0.0,5.0,0.0,0.0,71.0
7747,0.5782951474393156,9078.78022240574,1.0,1.0,0.0,4.0,2.0,2.0,786.0
7748,0.3845908489098844,6349.2806811783685,0.0,0.0,0.0,3.0,2.0,1.0,797.0
7758,0.0266627923148613,7470.089022652559,0.0,1.0,1.0,2.0,2.0,1.0,272.0
7761,0.2076372451921202,7719.626586739287,1.0,0.0,0.0,5.0,1.0,1.0,912.0
7769,0.1614566904479581,11332.610440916678,0.0,1.0,1.0,5.0,1.0,1.0,416.0
7774,0.0143946560237009,13222.91502850581,1.0,0.0,0.0,5.0,1.0,0.0,303.0
7775,0.0517180405534203,10243.73628922656,1.0,1.0,0.0,5.0,2.0,0.0,830.0
7785,0.2279443547594973,7320.2659625013075,1.0,1.0,0.0,0.0,2.0,2.0,405.0
7788,0.348311277805813,6445.407423049875,0.0,0.0,0.0,2.0,0.0,2.0,889.0
7789,0.3072296930119895,4838.488904590359,0.0,1.0,0.0,0.0,0.0,2.0,927.0
7806,0.2241543700736283,12627.10781882002,0.0,0.0,0.0,0.0,1.0,1.0,941.0
7807,0.2137114791480438,9685.622315127452,0.0,0.0,1.0,2.0,1.0,1.0,315.0
7818,0.3481040285397381,5030.36923642528,1.0,1.0,0.0,3.0,0.0,0.0,370.0
7824,0.1608647219409055,8125.683281471598,0.0,0.0,0.0,4.0,1.0,1.0,282.0
7830,0.0498974574980288,4636.214907720669,0.0,2.0,0.0,3.0,0.0,1.0,998.0
7833,0.2525136838288378,12491.392882064298,0.0,2.0,0.0,3.0,0.0,0.0,274.0
7839,0.0450812918151731,9514.229700594082,0.0,0.0,0.0,0.0,0.0,1.0,733.0
7851,0.0143417972299258,7248.174462717259,1.0,1.0,0.0,2.0,1.0,1.0,9.0
7855,0.0316046477809679,13571.76501352813,1.0,0.0,0.0,5.0,2.0,0.0,174.0
7859,0.3803644798308152,11177.430717822168,0.0,1.0,0.0,5.0,1.0,1.0,927.0
7873,0.5985865971632209,6536.853940990164,1.0,0.0,0.0,3.0,2.0,1.0,225.0
7874,0.0670413893078168,11897.414723599197,1.0,2.0,0.0,0.0,1.0,0.0,849.0
7875,0.0247598701596283,12785.753575682444,1.0,0.0,0.0,1.0,0.0,1.0,103.0
7878,0.2547869260784608,4439.857504712748,0.0,1.0,0.0,2.0,0.0,1.0,774.0
7889,0.021924943421084,5887.627616388352,1.0,1.0,0.0,0.0,0.0,1.0,886.0
7895,0.1042813711950322,13414.96782581855,0.0,0.0,0.0,0.0,2.0,2.0,428.0
7911,0.3896941936567868,11697.133219982936,0.0,1.0,0.0,3.0,0.0,2.0,793.0
7920,0.1885411237737934,4123.722810474128,0.0,2.0,0.0,2.0,0.0,2.0,850.0
7922,0.3181811539921178,12686.829027988417,0.0,2.0,0.0,0.0,1.0,0.0,145.0
7926,0.003672748789256,8479.217155157035,1.0,1.0,0.0,4.0,0.0,2.0,208.0
7935,0.0021049657867074,8670.72855844706,1.0,2.0,0.0,2.0,0.0,0.0,655.0
7937,0.0673695442884733,12273.116676711234,1.0,2.0,0.0,0.0,0.0,2.0,186.0
7940,0.0650434801709001,10590.710109198397,0.0,1.0,0.0,3.0,1.0,2.0,284.0
7950,0.155682176067747,13567.595254036389,1.0,2.0,0.0,5.0,0.0,1.0,103.0
7953,0.591147019109666,7397.178603626555,0.0,2.0,0.0,1.0,2.0,1.0,395.0
7954,0.126010138219856,9900.548662535104,0.0,0.0,0.0,0.0,2.0,1.0,686.0
7958,0.4434393225246943,4474.6736897152805,1.0,1.0,0.0,2.0,1.0,1.0,354.0
7961,0.2867582657173346,11800.201662101315,0.0,0.0,0.0,5.0,2.0,1.0,395.0
7962,0.056300359619529,10045.789249636951,0.0,2.0,0.0,5.0,1.0,1.0,526.0
7978,0.3045113502550485,7564.65787633258,0.0,0.0,0.0,5.0,0.0,2.0,786.0
7979,0.1024880065554548,8681.702755927297,1.0,2.0,0.0,4.0,0.0,1.0,582.0
7983,0.2035146380521466,5781.046314132711,0.0,0.0,1.0,0.0,1.0,0.0,601.0
7989,0.5900045447522237,7824.205493507775,0.0,2.0,0.0,0.0,0.0,1.0,131.0
7994,0.193079928473829,11517.044538102888,1.0,2.0,0.0,1.0,0.0,0.0,746.0
7998,0.4766124979409989,13339.857505597163,0.0,2.0,0.0,0.0,1.0,0.0,733.0
8007,0.0355601643613498,9218.57420335109,1.0,1.0,0.0,0.0,1.0,1.0,800.0
8014,0.051909589876241,4205.138295269673,1.0,2.0,0.0,3.0,1.0,0.0,885.0
8022,0.5191231543817636,13548.254157903051,1.0,0.0,0.0,3.0,0.0,1.0,593.0
8024,0.1167677978342026,13068.416059638916,1.0,1.0,0.0,5.0,2.0,0.0,600.0
8035,0.3856074676118088,4372.253561792864,1.0,0.0,0.0,5.0,2.0,0.0,990.0
8045,0.3262887351875855,9411.447831732152,1.0,2.0,0.0,4.0,2.0,0.0,369.0
